일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2022-01-06,"35,050",0,0,0,0,0,0,0,0
2022-01-05,"35,050",-50,-0.14,"35,250","35,300","35,050","8,000","281,875,000","35,234"
2022-01-04,"35,100",0,0,"35,100","35,200","35,100","4,800","168,580,000","35,121"
2022-01-03,"35,100",0,0,"35,100","35,100","35,100","4,200","147,420,000","35,100"
2021-12-30,"35,100",50,0.14,"35,100","35,150","35,050","48,348","1,697,057,400","35,101"
2021-12-29,"35,050",50,0.14,"35,100","35,100","35,000","103,408","3,624,792,600","35,053"
2021-12-28,"35,000",100,0.29,"35,000","35,100","35,000","167,963","5,882,205,000","35,021"
2021-12-27,"34,900",-100,-0.29,"34,950","35,000","34,900","178,200","6,229,615,000","34,959"
2021-12-24,"35,000",-100,-0.28,"35,100","35,150","34,900","122,300","4,286,465,000","35,049"
2021-12-23,"35,100",0,0,"35,100","35,300","35,100","53,548","1,887,547,200","35,250"
2021-12-22,"35,100",-250,-0.71,"35,000","35,200","35,000","7,000","245,600,000","35,086"
2021-12-21,"35,350",100,0.28,"35,250","35,350","35,250","19,650","693,602,500","35,298"
2021-12-20,"35,250",250,0.71,"36,000","36,000","35,000","54,600","1,946,550,000","35,651"
2021-12-17,"35,000",1000,2.94,"35,000","35,100","34,900","109,700","3,839,910,000","35,004"
2021-12-16,"34,000",-1000,-2.86,"34,900","35,100","34,000","182,500","6,320,460,000","34,633"
2021-12-15,"35,000",100,0.29,"34,900","35,000","34,800","12,000","419,450,100","34,954"
2021-12-14,"34,900",0,0,"34,900","34,900","34,800","6,426","224,167,400","34,884"
2021-12-13,"34,900",0,0,"34,800","34,900","34,700","22,500","783,850,000","34,838"
2021-12-10,"34,900",800,2.35,"34,500","34,900","34,500","24,000","834,450,000","34,769"
2021-12-09,"34,100",800,2.4,"33,900","34,400","33,900","31,189","1,061,107,100","34,022"
2021-12-08,"33,300",800,2.46,"32,700","33,300","32,650","18,500","609,800,000","32,962"
2021-12-07,"32,500",300,0.93,"32,200","32,500","32,200","107,800","3,487,575,000","32,352"
2021-12-06,"32,200",-200,-0.62,"32,300","32,300","32,200","11,000","355,250,000","32,295"
2021-12-03,"32,400",0,0,"32,400","32,400","32,300","14,000","453,550,000","32,396"
2021-12-02,"32,400",0,0,"32,400","32,400","32,400","13,000","421,200,000","32,400"
2021-12-01,"32,400",-1200,-3.57,"30,500","33,000","30,500","16,900","536,160,000","31,725"
2021-11-30,"33,600",50,0.15,"33,600","33,800","33,300","68,880","2,320,671,000","33,692"
2021-11-29,"33,550",150,0.45,"33,400","33,700","33,400","112,000","3,762,250,000","33,592"
2021-11-26,"33,400",200,0.6,"33,400","33,600","33,400","143,000","4,793,900,000","33,524"
2021-11-25,"33,200",1200,3.75,"32,500","33,700","32,500","82,900","2,762,725,000","33,326"
2021-11-24,"32,000",2000,6.67,"30,500","32,000","30,500","13,265","416,681,000","31,412"
2021-11-23,"30,000",-100,-0.33,"30,000","30,100","30,000","7,200","216,053,700","30,007"
2021-11-22,"30,100",100,0.33,"29,800","30,200","29,800","18,500","553,850,000","29,938"
2021-11-19,"30,000",-1900,-5.96,"32,100","32,100","30,000","3,066","95,926,400","31,287"
2021-11-18,"31,900",-1100,-3.33,"32,700","32,700","31,900","1,800","58,400,000","32,444"
2021-11-17,"33,000",-600,-1.79,"33,400","33,400","33,000","19,760","657,702,000","33,285"
