Date,Open,High,Low,Close,Volume,Change
2018-01-02,368000,370000,360500,360500,92533,-0.020380434782608647
2018-01-03,360000,368500,360000,363000,81340,0.006934812760055475
2018-01-04,367500,367500,349000,349000,190391,-0.038567493112947604
2018-01-05,351000,352000,348000,351500,99268,0.007163323782235054
2018-01-08,359000,383500,358000,383500,490208,0.09103840682788045
2018-01-09,384000,391000,382500,384500,169318,0.0026075619295957697
2018-01-10,387500,389000,378000,380500,102377,-0.01040312093628093
2018-01-11,385000,391500,381000,383000,141184,0.006570302233902758
2018-01-12,389000,397000,388000,394500,193850,0.030026109660574507
2018-01-15,400000,408500,396500,400500,148493,0.015209125475285079
2018-01-16,398000,400000,388000,395000,88807,-0.013732833957553092
2018-01-17,396000,399000,385000,389500,100485,-0.013924050632911356
2018-01-18,390000,394500,381000,382500,91055,-0.01797175866495504
2018-01-19,382500,389500,382500,387500,92929,0.013071895424836555
2018-01-22,394000,409000,393500,402000,202940,0.03741935483870962
2018-01-23,401000,404500,394500,402000,90114,0.0
2018-01-24,399500,406000,399500,403000,70180,0.0024875621890547706
2018-01-25,401500,417000,401500,415000,164184,0.02977667493796532
2018-01-26,412000,415000,405500,406500,104069,-0.02048192771084334
2018-01-29,410000,426000,409000,423500,163648,0.04182041820418214
2018-01-30,420500,429500,416000,419000,110199,-0.010625737898465215
2018-01-31,411000,421500,401000,420000,133719,0.0023866348448686736
2018-02-01,425000,437500,423000,427500,198092,0.017857142857142794
2018-02-02,428000,431000,417500,417500,112524,-0.023391812865497075
2018-02-05,409000,423000,406500,416000,151172,-0.003592814371257469
2018-02-06,404000,418500,396000,412000,157542,-0.009615384615384581
2018-02-07,416000,420500,391500,392000,202328,-0.04854368932038833
2018-02-08,388000,402500,384000,399000,154739,0.017857142857142794
2018-02-09,403500,427000,399000,418500,297735,0.048872180451127845
2018-02-12,419000,435000,411500,431000,166078,0.029868578255675127
2018-02-13,431000,441000,426000,435500,156528,0.010440835266821269
2018-02-14,426500,441500,425500,435500,117268,0.0
2018-02-19,443500,455500,440000,449500,136608,0.03214695752009189
2018-02-20,447000,453000,443000,453000,82477,0.007786429365962189
2018-02-21,450000,450000,435000,442000,142102,-0.02428256070640178
2018-02-22,435500,448000,429000,442500,128947,0.0011312217194570096
2018-02-23,448000,461000,443500,461000,159729,0.041807909604519855
